id,name,address,price_level,latitude,longitude,genre,reason
1,六本木焼肉 Kintan,東京都港区六本木６丁目１−８ 六本木グリーンビル 2F,3,35.6604,139.7300,japanese,高品質な焼肉を提供する人気店
2,俺の創作らぁめん 極 神田神保町店,東京都千代田区神田神保町１丁目４−６,2,35.6961,139.7570,japanese,創作ラーメンが楽しめるお店
3,麺匠大宮はなび,東京都千代田区神田小川町３丁目６−１０,2,35.6965,139.7612,japanese,うどん食べ放題が魅力
4,らーめん谷瀬家,東京都港区新橋３丁目１１−１,2,35.6663,139.7578,japanese,家系ラーメンの名店
5,もうやんカレー 西新宿リビング店,東京都新宿区西新宿６丁目５−１,3,35.6938,139.6921,indian,スパイスカレーのビュッフェが人気
6,らぁ麺や 嶋,東京都渋谷区本町３丁目４１−１２,3,35.6842,139.6827,japanese,記帳制の人気ラーメン店
7,毎日カオマンガイ,東京都新宿区西新宿６丁目１６−８,2,35.6921,139.6895,thai,本格カオマンガイ専門店
8,ひじり屋 西新宿店,東京都新宿区西新宿６丁目１６−１２,2,35.6925,139.6898,japanese,昔ながらの中華そばが味わえる
9,あるでん亭 新宿住友ビル店,東京都新宿区西新宿２丁目６−１,3,35.6894,139.6917,italian,1977年創業のスパゲッティ専門店
10,屋台DELi 小田急第一生命ビル店,東京都新宿区西新宿２丁目７−１,1,35.6897,139.6920,japanese,お昼のみ営業のお弁当屋さん
